LATITUDE;LONGITUDE;PADRAO;CHURRASQUEIRA;PISCINA;PLAYGROUND;PORTARIA;SALAO_FESTAS;QUADRA_POLIESPORTIVA;VAGAS_GARAGEM;BANHEIROS;QUARTOS;AREA;VALOR
-23.52;-46.65;2;1;1;1;1;1;1;2;0;0;83.17;600000
-23.52;-46.65;2;0;1;1;1;1;0;2;1;2;83.17;695000
-23.52;-46.65;2;1;1;1;0;1;1;2;1;2;83.17;628000
-23.51;-46.68;2;1;1;1;1;1;1;1;1;2;79.52;693000
-23.51;-46.68;2;1;1;0;1;1;0;1;1;2;66.06;704000
-23.52;-46.66;2;0;1;1;1;1;1;2;1;4;108.1;963000
-23.52;-46.67;2;0;1;1;1;1;0;2;2;2;110.8;990000
-23.52;-46.67;2;1;0;1;1;1;1;1;1;2;66.75;400000
-23.51;-46.67;2;0;0;0;0;0;0;1;1;2;66.75;507000
-23.52;-46.67;2;1;1;1;1;1;0;1;1;2;66.75;550000
-23.52;-46.67;2;1;1;1;1;1;0;1;0;1;47.4;398500
-23.52;-46.67;2;1;1;0;1;1;0;1;0;1;47.4;376000
-23.52;-46.67;2;0;1;1;0;0;1;1;0;2;47.4;327000
-23.52;-46.67;2;1;1;1;1;1;0;1;1;2;47.4;438000
-23.52;-46.67;2;1;0;1;1;1;1;1;1;2;66.75;400000
-23.52;-46.67;2;1;1;1;1;1;0;1;0;1;47.4;438000
-23.52;-46.68;2;1;1;1;1;1;0;1;2;2;79.52;850000
-23.51;-46.68;2;1;1;1;1;1;1;1;1;2;79.52;730000
-23.52;-46.66;2;1;1;1;1;1;0;1;0;1;45.4;385000
-23.52;-46.66;2;1;1;1;1;1;1;1;0;2;62.36;490000
-23.52;-46.66;2;1;1;0;1;1;0;1;1;0;45.4;350000
-23.51;-46.66;2;1;1;1;1;1;1;1;0;1;59.54;410000
-23.51;-46.66;2;1;1;1;1;1;1;1;1;3;96.61;746000
-23.51;-46.66;2;1;1;1;1;1;1;2;3;3;112.69;950000
-23.52;-46.66;2;1;1;0;1;1;0;1;1;2;62.36;565000
-23.52;-46.66;2;1;1;0;1;1;0;1;1;1;45.4;408000
-23.51;-46.66;2;1;1;0;1;1;1;2;1;3;93.93;720000
-23.52;-46.66;2;1;1;1;1;1;1;2;1;3;95.71;790000
-23.51;-46.66;2;1;1;1;1;1;1;2;1;3;93.93;690000
-23.51;-46.66;2;1;1;1;1;1;1;1;1;0;59.54;505000
-23.52;-46.66;2;1;1;0;1;1;0;1;0;1;41.08;470000
-23.52;-46.66;2;1;1;1;1;1;1;2;1;3;95.72;725000
-23.52;-46.66;2;0;0;0;1;1;0;1;1;1;120.72;480000
-23.51;-46.66;2;1;1;1;1;1;1;2;0;3;169.8;695000
-23.56;-46.45;2;1;1;0;1;1;0;1;1;1;45.4;445000
-23.51;-46.66;2;1;1;1;1;1;0;1;1;2;66.4;515500
-23.51;-46.66;2;1;1;1;1;1;1;2;1;3;96.61;750000
-23.51;-46.66;2;1;1;1;1;1;1;2;3;3;95.71;780000
-23.51;-46.66;2;1;1;1;1;1;1;2;1;3;93.93;801500
-23.52;-46.66;2;1;1;0;1;1;0;1;0;1;41.08;370000
-23.52;-46.66;2;1;1;0;1;1;0;1;1;2;62.36;493000
-23.53;-46.66;2;0;0;0;1;0;0;0;0;2;87.45;385000
-23.53;-46.66;2;0;0;0;1;0;0;1;1;2;77.9;400000
-23.53;-46.65;2;0;0;0;0;0;0;1;0;2;93.15;381000
-23.53;-46.65;2;1;1;1;1;1;0;1;1;3;81.17;838069
-23.53;-46.65;2;1;1;0;1;1;0;1;0;2;54.08;350000
-23.53;-46.65;2;0;0;0;1;0;0;1;0;2;77.9;315000
-23.53;-46.65;2;0;0;0;1;0;0;0;0;1;43.75;274040
-23.53;-46.65;2;0;0;0;1;0;0;0;0;1;43.75;280000
-23.52;-46.65;2;0;0;1;1;1;1;1;0;1;37.57;340000
-23.52;-46.65;2;1;1;0;1;1;0;1;0;0;37.57;370000
-23.66;-46.78;2;1;1;1;1;1;0;1;1;2;50.43;250000
-23.52;-46.65;2;0;1;0;1;1;0;1;0;1;41;435000
